planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,top_k
crrt_grid,True,23.25555882207118,316,121,219,119,97,0,34,100,0,0,16573,219,75.67579908675799,942,4.301369863013699,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",23,2000,0.1,0.0,512,8
crrt_grid,True,29.23350521386601,514,146,366,144,148,0,46,222,0,0,28169,366,76.96448087431693,1517,4.144808743169399,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",24,2000,0.1,0.0,512,8
crrt_grid,True,41.89087671996094,783,197,555,195,228,0,77,360,0,0,42183,555,76.00540540540541,2386,4.299099099099099,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",25,2000,0.1,0.0,512,8
crrt_grid,True,6.488023673882708,38,29,30,27,8,0,7,3,0,0,2375,30,79.16666666666667,131,4.366666666666666,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",26,2000,0.1,0.0,512,8
crrt_grid,True,9.971833990886807,86,54,66,52,20,0,8,14,0,0,5048,66,76.48484848484848,280,4.242424242424242,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",27,2000,0.1,0.0,512,8
crrt_grid,True,5.195259093074128,56,27,35,25,21,0,6,10,0,0,2727,35,77.91428571428571,155,4.428571428571429,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",28,2000,0.1,0.0,512,8
crrt_grid,True,9.393742220010608,98,47,66,45,32,0,6,21,0,0,5166,66,78.27272727272727,264,4.0,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",29,2000,0.1,0.0,512,8
crrt_grid,True,9.428683219943196,118,54,80,52,38,0,10,28,0,0,6190,80,77.375,345,4.3125,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",30,2000,0.1,0.0,512,8
crrt_grid,False,66.04026675899513,2000,328,1430,327,570,0,192,1103,0,0,108430,1430,75.82517482517483,6139,4.293006993006993,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",31,2000,0.1,0.0,512,8
crrt_grid,True,45.252731868997216,954,218,668,216,286,0,89,452,0,0,50809,668,76.06137724550898,2779,4.160179640718563,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",32,2000,0.1,0.0,512,8
crrt_grid,True,9.061014418955892,74,43,50,41,24,0,7,9,0,0,3694,50,73.88,202,4.04,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",33,2000,0.1,0.0,512,8
crrt_grid,True,10.36031597503461,100,57,77,55,23,0,9,22,0,0,5884,77,76.41558441558442,331,4.298701298701299,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",34,2000,0.1,0.0,512,8
crrt_grid,True,5.460692113963887,30,23,24,21,6,0,6,3,0,0,1924,24,80.16666666666667,97,4.041666666666667,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",35,2000,0.1,0.0,512,8
crrt_grid,True,6.113999478984624,54,32,42,30,12,0,5,12,0,0,3298,42,78.52380952380952,165,3.9285714285714284,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",36,2000,0.1,0.0,512,8
crrt_grid,True,5.406031404156238,46,23,30,21,16,0,6,9,0,0,2358,30,78.6,112,3.7333333333333334,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",37,2000,0.1,0.0,512,8
crrt_grid,True,7.648406968917698,61,36,47,34,14,0,7,13,0,0,3611,47,76.82978723404256,185,3.9361702127659575,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",38,2000,0.1,0.0,512,8
crrt_grid,True,4.339678962016478,28,22,22,20,6,0,9,2,0,0,1663,22,75.5909090909091,91,4.136363636363637,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",39,2000,0.1,0.0,512,8
crrt_grid,True,6.5644022228661925,43,26,30,24,13,0,7,6,0,0,2264,30,75.46666666666667,112,3.7333333333333334,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",40,2000,0.1,0.0,512,8
