planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,marked_set_size_total,grover_rounds_total,avg_marked_set_size,initial_score_total,selected_score_total,avg_initial_score,avg_selected_score,grover_improvements,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_iters,quantum_shots,quantum_use_ibm,quantum_backend,quantum_target_weight,quantum_goal_weight,quantum_best_rounds,quantum_score_margin
qrrt_grid,True,18.183303911006078,48,41,39,39,9,0,8,0,0,0,2607,39,66.84615384615384,1968,87,22.620689655172413,-9.271664970393333,38.92329409196956,-0.2377349992408547,0.9980331818453733,33,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",35,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,43.383526416961104,155,114,112,112,43,0,17,0,0,0,7827,112,69.88392857142857,5997,247,24.279352226720647,-45.32925343844173,76.34034637338203,-0.404725477128944,0.6816102354766252,89,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",36,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,38.16543724597432,149,107,105,105,44,0,13,0,0,0,6786,105,64.62857142857143,4840,211,22.938388625592417,-32.5741994625176,49.10256451333616,-0.3102304710715962,0.4676434715555825,73,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",37,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,66.97031928412616,252,178,176,176,76,0,20,0,0,0,12050,176,68.4659090909091,8367,372,22.491935483870968,-61.60966331355329,82.19725293338783,-0.3500549051906437,0.4670298462124309,126,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",3,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,26.05327042005956,98,71,69,69,29,0,9,0,0,0,4591,69,66.53623188405797,2664,128,20.8125,-12.977211675438053,40.709224065686556,-0.18807553152808773,0.5899887545751674,44,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",6,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,False,466.2066535640042,2000,1231,1230,1230,590,180,198,0,0,0,84164,1230,68.4260162601626,64445,2683,24.019754006708908,-570.6798075168567,426.22166614766263,-0.46396732318443634,0.34652167979484766,927,,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",7,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,20.35434170695953,63,43,41,41,22,0,12,0,0,0,2891,41,70.51219512195122,1863,87,21.413793103448278,-8.471036593647648,36.07222639325276,-0.2066106486255524,0.8798103998354332,34,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",9,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,23.240333987865597,79,63,61,61,18,0,9,0,0,0,3661,61,60.01639344262295,1980,117,16.923076923076923,4.642501974214218,47.07921388505433,0.07610658974121669,0.7717903915582677,42,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",14,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,38.901464958908036,148,106,104,104,44,0,20,0,0,0,6896,104,66.3076923076923,4436,216,20.537037037037038,-32.62576121718815,66.80529110057998,-0.31370924247296295,0.6423585682748075,73,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",16,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,24.07463923213072,76,56,54,54,22,0,11,0,0,0,3698,54,68.48148148148148,2943,114,25.81578947368421,-23.191147454544378,45.977332062536505,-0.42946569360267367,0.8514320752321575,42,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",17,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
